tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,year,wl,ll,rnd,_yr,Tournament,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,pin_prob_w,pin_prob_l,b365_prob_w,max_prob_w,avg_prob_w,odds_consensus_w,pin_log_odds,b365_log_odds
2004-7308,Adelaide,Hard,32.0,250,O,2004-01-05,29.0,H377,,,Dominik Hrbaty,R,180.0,SVK,26.001,61.0,584.0,N289,6.0,,Jarkko Nieminen,L,185.0,FIN,22.453,36.0,980.0,6-4 6-2,3,SF,58.0,2.0,1.0,58.0,46.0,35.0,3.0,9.0,4.0,5.0,1.0,1.0,54.0,32.0,21.0,7.0,9.0,2.0,6.0,2004,hrbaty,nieminen,SF,2004,AAPT Championships,2.1,1.667,2.25,1.709,,,,,,,0.4316746653195251,0.5683253346804747,0.44252720998141765,,,,0.27502181208287496,0.23091174096072042
2004-7308,Adelaide,Hard,32.0,250,O,2004-01-05,28.0,L428,,Q,Michael Llodra,L,191.0,FRA,23.633,173.0,214.0,S544,2.0,,Vincent Spadea,R,183.0,USA,29.465,29.0,1100.0,6-4 6-2,3,QF,63.0,2.0,1.0,48.0,26.0,23.0,15.0,9.0,1.0,1.0,1.0,2.0,62.0,41.0,27.0,9.0,9.0,4.0,7.0,2004,llodra,spadea,QF,2004,AAPT Championships,2.25,1.571,2.63,1.552,,,,,,,0.3711142993782879,0.628885700621712,0.41114891389688557,,,,0.5274394244286461,0.35921785694284475
2004-7308,Adelaide,Hard,32.0,250,O,2004-01-05,27.0,D362,5.0,,Taylor Dent,R,188.0,USA,22.7,33.0,1045.0,J129,,WC,Thomas Johansson,R,180.0,SWE,28.786,,,7-6(2) 6-2,3,QF,86.0,14.0,5.0,63.0,35.0,33.0,13.0,10.0,3.0,4.0,4.0,4.0,80.0,46.0,29.0,16.0,10.0,8.0,11.0,2004,dent,johansson,QF,2004,AAPT Championships,1.571,2.25,1.633,2.42,,,,,,,0.5970885763631877,0.4029114236368122,0.5888510861031143,,,,-0.3933487261802669,-0.3592178569428447
2004-7308,Adelaide,Hard,32.0,250,O,2004-01-05,26.0,H377,,,Dominik Hrbaty,R,180.0,SVK,26.001,61.0,584.0,S681,,,Cyril Saulnier,R,183.0,FRA,28.389,86.0,423.0,6-4 7-6(1),3,QF,125.0,2.0,2.0,73.0,46.0,35.0,15.0,11.0,3.0,4.0,9.0,7.0,66.0,34.0,28.0,15.0,11.0,2.0,4.0,2004,hrbaty,saulnier,QF,2004,AAPT Championships,1.833,1.833,1.862,2.0,,,,,,,0.5178663904712584,0.4821336095287415,0.5,,,,-0.07149600170506992,0.0
2004-338,Sydney,Hard,32.0,250,O,2004-01-12,28.0,H432,7.0,,Lleyton Hewitt,R,178.0,AUS,22.88,15.0,1450.0,C487,,,Arnaud Clement,R,173.0,FRA,26.07,31.0,1065.0,6-1 4-6 6-3,3,QF,103.0,4.0,1.0,68.0,38.0,29.0,20.0,13.0,5.0,7.0,7.0,2.0,82.0,40.0,25.0,23.0,13.0,4.0,9.0,2004,hewitt,clement,QF,2004,adidas International,1.222,4.0,1.235,4.65,,,,,,,0.7901444350042481,0.20985556499575192,0.7659900421294522,,,,-1.3257962495193245,-1.185805500370487
2004-338,Sydney,Hard,32.0,250,O,2004-01-12,25.0,F196,,,Wayne Ferreira,R,185.0,RSA,32.326,32.0,1055.0,R583,,WC,Todd Reid,R,180.0,AUS,19.608,172.0,213.0,6-4 6-4,3,QF,58.0,8.0,1.0,58.0,37.0,30.0,14.0,10.0,2.0,2.0,3.0,0.0,58.0,40.0,31.0,7.0,10.0,0.0,2.0,2004,ferreira,reid,QF,2004,adidas International,1.615,2.2,1.685,2.3,,,,,,,0.5771643663739021,0.4228356336260979,0.5766710353866317,,,,-0.31114355913077885,-0.3091224036896504
2004-338,Sydney,Hard,32.0,250,O,2004-01-12,26.0,M605,3.0,,Carlos Moya,R,191.0,ESP,27.376,7.0,2380.0,R419,,,Tommy Robredo,R,180.0,ESP,21.7,20.0,1295.0,6-1 6-2,3,QF,51.0,7.0,2.0,41.0,24.0,21.0,11.0,8.0,0.0,0.0,2.0,1.0,53.0,33.0,21.0,4.0,7.0,10.0,14.0,2004,moya,robredo,QF,2004,adidas International,1.533,2.375,1.709,2.25,,,,,,,0.5683253346804747,0.4316746653195251,0.607727737973388,,,,-0.27502181208287496,-0.4377708375969275
2004-338,Sydney,Hard,32.0,250,O,2004-01-12,27.0,V232,8.0,,Martin Verkerk,R,196.0,NED,25.199,17.0,1420.0,P338,4.0,,Mark Philippoussis,R,196.0,AUS,27.179,10.0,1605.0,6-4 7-6(4),3,QF,94.0,8.0,6.0,70.0,35.0,28.0,23.0,11.0,3.0,4.0,11.0,1.0,66.0,37.0,31.0,15.0,11.0,4.0,6.0,2004,verkerk,philippoussis,QF,2004,adidas International,2.625,1.444,2.62,1.549,,,,,,,0.3715519309186855,0.6284480690813145,0.3548783484885721,,,,0.5255647563382739,0.5976638555729527
2004-338,Sydney,Hard,32.0,250,O,2004-01-12,29.0,M605,3.0,,Carlos Moya,R,191.0,ESP,27.376,7.0,2380.0,F196,,,Wayne Ferreira,R,185.0,RSA,32.326,32.0,1055.0,6-2 6-1,3,SF,66.0,5.0,1.0,46.0,27.0,20.0,12.0,7.0,3.0,3.0,0.0,2.0,54.0,30.0,13.0,10.0,8.0,9.0,14.0,2004,moya,ferreira,SF,2004,adidas International,1.444,2.625,1.513,2.75,,,,,,,0.6450856204550786,0.3549143795449214,0.6451216515114279,,,,-0.5975064768722612,-0.5976638555729527
2004-338,Sydney,Hard,32.0,250,O,2004-01-12,30.0,H432,7.0,,Lleyton Hewitt,R,178.0,AUS,22.88,15.0,1450.0,V232,8.0,,Martin Verkerk,R,196.0,NED,25.199,17.0,1420.0,6-2 RET,3,SF,36.0,2.0,0.0,16.0,9.0,8.0,4.0,4.0,0.0,1.0,3.0,3.0,31.0,9.0,7.0,5.0,4.0,1.0,4.0,2004,hewitt,verkerk,SF,2004,adidas International,1.286,3.5,1.345,3.5,,,,,,,0.7223942208462333,0.2776057791537667,0.7312996239030507,,,,-0.9563689554415655,-1.0012263426799404
